cid,SAdon,MATS3e,F03[O-O],CATS2D_04_DL,MATS1i,SHED_DA,O-056,CATS2D_05_DL,P_VSA_charge_3,SpMAD_X,MATS1m,P_VSA_p_2,GATS3e,LOC,P_VSA_LogP_3,ATSC1e,BIC3,SdssC,QED,SHED_DL,CATS2D_09_DD,GATS6v,P_VSA_charge_2,CATS2D_03_DL,MaxdssC,RBF,MDEN-23,GATS8m,MDEO-12,GATS7m,JGI3,minsssN,MATS1v,DECC,MATS4e,MATS2e,F07[N-O],MATS2m,SpDiam_AEA(ed),Qmean,P_VSA_s_6,MATS3m,CATS2D_04_AA,Chi_Dz(p),ATSC3e,VE2sign_B(v),P_VSA_charge_4,CATS2D_08_DD,Eig04_AEA(dm),GATS1i,CATS2D_07_DA,CATS2D_06_DL,PW4,GATS2v,JGI6,Eig02_EA(dm),minaaaC,VE1sign_Dz(p),minsCH3,F06[C-O],GATS8v,CATS2D_07_LL,GATS1p,VE2sign_Dz(i),C-030
1401,0.0856563401732516,0.3934202775376036,0.0,0.5714285714285714,0.513454133202337,0.4040706953996742,0.0,0.2727272727272727,0.5383203454290859,0.4639701157408682,0.4387908902792085,0.1369428622117253,0.7555968569385091,0.5601123906553294,0.086131191578165,0.0508704013940552,0.4990963874049234,0.5537663092311852,0.3635921864320987,0.613572365876282,0.0,0.6343620181369427,0.1023253867459184,0.2307692307692307,0.3375010748165641,0.5791733762748257,0.2016481758945127,0.4192659901838808,0.0261015410141304,0.679863831353355,0.3274374460742029,0.9899405119597304,0.4667901853913324,0.5296987498492606,0.8238940314023635,0.5269228709519447,0.0,0.7254513734617389,0.4075103707710525,0.2383440493936912,0.097335430802809,0.5364989696938617,0.25,0.0689867758375758,0.0830546247328221,0.1709054418511308,0.1351210967661009,0.0666666666666666,0.7261967857687933,0.5700985663285534,0.0,0.3846153846153846,0.48467016901636,0.2910518397680369,0.5285052578868287,0.2248204164946287,0.4122621733779337,0.7031244011533663,0.6890537147565975,0.0694444444444444,0.6218188300199695,0.2,0.6528885401937001,0.7373633306515945,0.0
2375,0.0962172360330528,0.446612084498625,0.0833333333333333,0.0714285714285714,0.7973728581937093,0.3391573438660477,0.125,0.3636363636363636,0.5434277632531717,0.069772693452168,0.6035467549383149,0.1438722947991028,0.4615689778461848,0.2592178393722258,0.2614567757540401,0.401889719431966,0.734707561775064,0.4869876264629703,0.5460196291982664,0.3213532397867897,0.0,0.8192752436489067,0.1428571428571433,0.2307692307692307,0.0132336607229093,0.4100790513834002,0.0,0.3418698484700579,0.0,0.5926287148650191,0.6100453435647023,0.0,0.821415855124965,0.3726765013134366,0.4079694846015979,0.7193623072922599,0.0,0.518354472022392,0.567822685739616,0.4215969842275162,0.224606186660464,0.4023395901214774,0.1666666666666666,0.113502323971988,0.2760123449658485,0.467748178304691,0.6113036187391753,0.0,1.0,0.1475983188941309,0.0,0.4615384615384615,0.4315661310965167,0.4292527195400976,0.7773498483018626,0.771186312394366,0.0502183877558932,0.2573884464784248,0.3767126475337576,0.1388888888888889,0.5815486356200186,0.025,0.4753598462680525,0.1942674543985612,0.0
3218,0.1353302452839377,1.0,0.1666666666666666,0.1428571428571428,0.8492767727898721,0.1717874319790822,0.0,0.1818181818181818,0.0,0.6827130084974051,0.1779142610705773,0.1168514726520908,0.0805083487279948,0.7517964106603003,0.0215327978945412,0.0487408898113211,0.2096724181653679,0.4116263361710404,0.6120317433156978,0.7580848750700474,0.0,0.6458806722779158,0.2857142857142861,0.2307692307692307,0.4855030338467488,0.7678075855689188,0.0,0.4212347633125755,0.0,0.6198221248253046,0.3960772833723657,0.0,0.709542279791251,0.3955605042229521,0.773431756564056,0.3895289967031516,0.0,0.3460345944493143,0.479838574378409,0.2480926023949392,0.1433469842446923,1.0,0.1666666666666666,0.1185457890655522,0.0764855263428231,0.0842796855415208,0.0,0.0,0.4789735604823212,0.3478910834485779,0.0,0.1538461538461538,0.3907707375270656,0.8472691778635008,0.5076614922383554,0.0,0.0502183877558932,0.4215271137336256,0.9508043738208006,0.0555555555555555,0.6011147655793362,0.15,0.5734710480195551,0.9492829989932958,0.0
3385,0.0571042267821678,0.480187838612064,0.0,0.0,0.5185597274608886,0.1049698145713096,0.0,0.0,0.2305339090484761,0.4644703394874252,0.0,0.0646754401487102,0.6844244576887658,0.2369566513846968,0.0,0.1788329977428788,0.9443525913248214,0.3833665087517032,0.5654243134100772,0.0,0.0,0.0,0.2451825296030612,0.0,0.2147873378045927,0.0,0.0,0.0,0.0,0.0,0.4598360655737711,0.0,0.8265040590810466,0.0408837434177566,0.1860555969228442,0.439702410234301,0.0,0.3838630900164056,0.1214961559216107,1.0,0.0584434417691599,0.4082725362963442,0.0833333333333333,0.2844119890336972,0.1003363825552882,0.6937989380690955,0.1204267584843323,0.0,0.2787421923342645,0.3260675649173666,0.0,0.0,0.2759557063652068,0.6583768593589524,0.0,0.2577992417805179,0.0502183877558932,0.1357383666308104,0.0,0.0,0.0,0.0,0.4509140557559167,0.0515653601128278,0.0
4091,0.1545116068204574,0.0,0.0,0.0,0.0,0.1130524479553492,0.0,0.0,0.0,0.1196361181422425,0.0167211744424867,0.0975224047376814,1.0,0.3863063238161282,0.0,0.0664644378941498,0.15501553649894,0.5772140354360387,0.317065441779528,0.0,0.0,1.0,0.1799395406382306,0.0,0.4829005750181391,0.3798627002288332,0.1386342349891304,0.0,0.0,0.0,0.5409836065573776,0.6152715584153685,0.2335875588283886,0.06785954672308,0.7267298989013637,0.9999999999999998,0.0,1.0,0.0,0.6241354857090875,0.1175350153875123,0.0,0.0,0.2156645021076977,0.0125486368736406,1.0,0.1351210967661009,0.0,0.0,1.0,0.0,0.0,0.0,0.0686902316901904,0.0,0.26790849475599,0.0502183877558932,0.0437425595672467,0.7291561749973746,0.0,0.0,0.0,0.8418128899936546,0.1668191097086336,0.0
4261,0.1092555359352701,0.5887806668973747,0.0,0.5,0.7815578945080336,0.4329153452442825,0.0,0.3636363636363636,0.2305339090484761,0.6325569106254099,0.3021551801820795,0.1288393006934924,0.446818100733186,0.1391133863261246,0.2900799829555418,0.0797274453224612,0.7657647368914655,0.5232416640700842,0.59352894411898,0.6639453184071534,0.0,0.5960749873107682,0.2382216189400736,0.6153846153846154,0.3742565698730248,0.5052173913043474,0.0,0.4089511612366606,0.0492175377346945,0.8387819814326869,0.049827437446074,0.0,0.7561995792977644,0.5228353721137595,0.3462354725219863,0.6355620813258226,0.0833333333333333,0.2570020973955117,0.2991827017888515,0.3935006425285829,0.1135803607038276,0.4923569028619365,0.0833333333333333,0.0714882501126358,0.0383348450573181,0.081197262909484,0.0,0.0,0.6716996158263817,0.2970736280306694,0.0526315789473684,0.2307692307692307,0.4273634293794689,0.519046917277202,0.3128806112394395,0.2766599589277922,0.0502183877558932,0.3810439979677499,0.0,0.0972222222222222,0.6268753016609149,0.25,0.3678476047279481,0.2384678156418198,0.0
5291,0.0571042267821678,0.4965908355551619,0.0,0.4285714285714285,0.5741405726695894,0.3061173763019474,0.0,0.2727272727272727,0.3077864363806097,0.5310603652438131,0.4671595782087834,0.097940551704562,0.6312763188165692,0.1169730343767347,0.2153279789454126,0.0424875051838292,0.6434827680841684,0.5695972818630471,0.4317085426558064,0.4729582855848705,0.0,0.7078612029443617,0.2559719411306924,0.3846153846153846,0.4143739382083037,0.3508454106280189,0.2103187786612741,0.4275556487697333,0.0,0.6218386606939865,0.1642271662763476,0.9639831179708024,0.5863325808550088,0.6192132416357388,0.6332018466882608,0.3963835270807941,0.0833333333333333,0.4130366881105267,0.3081940454367653,0.1874325492714936,0.0708058211932846,0.4138115736826833,0.0833333333333333,0.0665471692097483,0.0459933576812338,0.1555800410339814,0.0,0.0,0.6978337977891893,0.4418842218494919,0.0526315789473684,0.1538461538461538,0.5252787331099374,0.3153290943252304,0.5042206166392452,0.2395735983007436,0.0502183877558932,0.2204001824653922,0.862427526319797,0.0277777777777777,0.6466608911050593,0.325,0.4600339277217357,0.3461887997393736,0.0
5311,0.1193544601330256,0.6787996793007629,0.0833333333333333,0.2857142857142857,0.8657838917047895,0.2845528042955681,0.125,0.2727272727272727,0.1326886992823538,0.7421266476777735,0.2207916544346506,0.106195771374361,0.4050260315600433,0.774968290434362,0.2049309529703408,0.1053029737735895,0.5237661906451399,0.5547816892164261,0.4474764656473805,0.5976545533655508,0.0833333333333333,0.6686276518701816,0.5289082925524676,0.3846153846153846,0.4695706527447419,0.7402452619843913,0.0,0.4569549634766144,0.0,0.7070568477831457,0.175819672131148,0.0,0.6951036082020672,0.3677878861046379,0.4950250769899619,0.5090013678598238,0.0,0.1497570299862584,0.1367751555869232,0.2711846268568681,0.0920224985585185,0.6335705210665641,0.0,0.1024427574443743,0.0740079378009817,0.3708651940260445,0.0,0.0,0.6118162296761703,0.3424960888586689,0.0,0.2307692307692307,0.2581499638422786,0.9436165415845696,0.4426818799627992,0.4985379530397295,0.0502183877558932,0.2847397632040509,0.0,0.0555555555555555,0.605428721702901,0.125,0.4965592294405862,0.5553746123706511,0.0
5746,0.1328547316972884,0.5439417444098055,0.0,0.2142857142857142,0.7448800195026632,0.3625958393366717,0.0,0.0909090909090909,0.2305339090484761,0.4049251806865603,0.3307702920009474,0.1683531908045833,0.5417869613474103,0.3741469470092834,0.0409256781731431,0.208158955139973,0.802103447821418,0.5116942159529178,0.3431077003864744,0.4122258704443296,0.0,0.6167589414756528,0.2857142857142861,0.2307692307692307,0.5731735775526761,0.3207729468599031,0.0924228233260868,0.5972305306767388,0.1373526275800272,0.8592047850140038,0.6808297089327534,0.7461793614799033,0.8498552167756428,0.1350883065230658,0.4488208712486758,0.4199615630821967,0.1666666666666666,0.7124703250516933,0.7499708599333759,0.561559045932551,0.1765966313370462,0.6774002499170341,0.25,0.167163959817149,0.1395951242113584,0.026241885942619,0.0,0.0666666666666666,0.8368112142028591,0.4154636796447409,0.1052631578947368,0.0769230769230769,0.7927908841877968,0.1733608216334695,1.0,0.2975217384799956,0.0502183877558932,0.8204206892795574,0.6550406124143822,0.125,0.6780037486449617,0.0,0.4897849958411043,0.4156057446576134,0.0
6253,0.2551466770790086,0.7321869205816046,0.3333333333333333,0.0,0.5823781284717333,0.4086545670635537,0.375,0.0909090909090909,0.2305339090484761,0.5040186380557241,0.1054766729108664,0.202863448149296,0.5151801676792723,0.2691465510231803,0.3124998091480317,0.2976274707464194,0.96864258454226,0.5333131599833227,0.3884674045936772,0.2379987172679614,0.0833333333333333,0.7334824237740863,0.0177503221906184,0.0,0.4838809915941697,0.2328190743338007,0.1386342349891304,0.5287725809383255,0.1295478447882804,0.7302994191753757,0.7279902853673358,0.4159170397660002,0.8303883172024645,0.1247514225521271,0.5727824219703783,0.2314281480528069,0.1666666666666666,0.2492163574044406,0.3975467681521387,0.7395942322093412,0.2376739979631541,0.6609431565914622,0.3333333333333333,0.1479339966676524,0.2213176298293905,0.5136909684319277,0.1351210967661009,0.0666666666666666,0.6149269739956811,0.5553884264395743,0.1578947368421052,0.0769230769230769,0.6523625298383274,0.5893067223744511,0.7032247088581575,0.2818753805501173,0.0502183877558932,0.1776980632541403,0.0,0.0694444444444444,0.7414084700497259,0.0,0.5722030400890492,0.3835300952785849,0.0
